"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.469138333E-1,3.805110931E0,2.334050751E1,-4.862422180E1,5.407007588E1
7.569558333E-1,3.911838531E0,2.334585190E1,-4.888084412E1,5.431084793E1
7.669965000E-1,4.089462280E0,2.349718475E1,-4.866168976E1,5.419226368E1
7.770375000E-1,4.256423950E0,2.357256699E1,-4.883666992E1,5.439488384E1
7.870785000E-1,4.281749725E0,2.353481293E1,-4.885123444E1,5.439360170E1
7.971195000E-1,4.076740265E0,2.348411560E1,-4.906320953E1,5.454651251E1
8.071605000E-1,4.031391144E0,2.350097275E1,-4.915274048E1,5.463094115E1
8.172025000E-1,4.019207001E0,2.352804947E1,-4.906185913E1,5.455995929E1
8.272435000E-1,3.992805481E0,2.376057053E1,-4.882717896E1,5.444814608E1
8.372845000E-1,3.948371887E0,2.384746552E1,-4.899129486E1,5.463001212E1
8.473255000E-1,3.944404602E0,2.365392303E1,-4.841976929E1,5.403277210E1
8.573665000E-1,3.994777679E0,2.368652725E1,-4.855229187E1,5.416950127E1
8.674085000E-1,4.017498016E0,2.361624908E1,-4.888674164E1,5.444061920E1
8.774495000E-1,4.129749298E0,2.375104904E1,-4.859593201E1,5.424695169E1
8.874905000E-1,4.131145477E0,2.334376907E1,-4.861996460E1,5.409157860E1
8.975315000E-1,4.322319031E0,2.321303940E1,-4.848650360E1,5.393022039E1
9.075725000E-1,4.188362122E0,2.328990555E1,-4.877990723E1,5.421661578E1
9.176135000E-1,4.174808502E0,2.321760941E1,-4.870759583E1,5.411946326E1
9.276555000E-1,3.967960358E0,2.329367065E1,-4.871754456E1,5.414553490E1
9.376965000E-1,4.104080200E0,2.334312439E1,-4.904200745E1,5.446892164E1
9.477375000E-1,4.039566040E0,2.352507401E1,-4.875804138E1,5.428714213E1
9.577785000E-1,3.920810699E0,2.333464432E1,-4.881156921E1,5.424433308E1
9.678195000E-1,3.802642822E0,2.341699600E1,-4.832840729E1,5.383726168E1
9.778615000E-1,3.839122772E0,2.352880859E1,-4.829153442E1,5.385551034E1
9.879025000E-1,3.871959686E0,2.349206924E1,-4.839488220E1,5.393453451E1
9.979435000E-1,4.052108765E0,2.350172806E1,-4.869896698E1,5.422490380E1
1.007984500E0,4.148628235E0,2.344643784E1,-4.893820190E1,5.442328701E1
1.018025500E0,3.886520386E0,2.346334076E1,-4.877738953E1,5.426662998E1
1.028066500E0,3.836360931E0,2.342461777E1,-4.909542084E1,5.453247409E1
1.038108500E0,4.019153595E0,2.315521622E1,-4.899897766E1,5.434351337E1
1.048149500E0,3.792110443E0,2.310268784E1,-4.858249664E1,5.392933587E1
1.058190500E0,3.695091248E0,2.323988724E1,-4.857965851E1,5.397897071E1
1.068231500E0,3.785110474E0,2.333457184E1,-4.857884979E1,5.402530843E1
1.078272500E0,4.010242462E0,2.318604660E1,-4.871060944E1,5.409619463E1
1.088313500E0,3.801830292E0,2.323650742E1,-4.862065125E1,5.402181891E1
1.098355500E0,3.834220886E0,2.332580566E1,-4.887351227E1,5.429009727E1
1.108396500E0,3.705142975E0,2.338638306E1,-4.880249023E1,5.424328576E1
1.118437500E0,3.632549286E0,2.335025406E1,-4.842047119E1,5.387923356E1
1.128478500E0,3.900768280E0,2.341534424E1,-4.840370941E1,5.391116233E1
1.138519500E0,4.083808899E0,2.350282669E1,-4.854319763E1,5.408791357E1
1.148561500E0,3.981159210E0,2.331351089E1,-4.860423279E1,5.405313001E1
1.158602500E0,3.970886230E0,2.358246994E1,-4.868238831E1,5.423906117E1
1.168643500E0,4.050418854E0,2.351228714E1,-4.877661133E1,5.429909163E1
1.178684500E0,4.081897736E0,2.346512985E1,-4.857854462E1,5.410313489E1
1.188725500E0,3.885375977E0,2.326245880E1,-4.874788666E1,5.415343562E1
1.198766500E0,4.033069611E0,2.315314484E1,-4.852869415E1,5.392001412E1
1.208808500E0,4.268459320E0,2.328215790E1,-4.870625305E1,5.415327975E1
1.218849500E0,4.299301147E0,2.350057220E1,-4.898934174E1,5.450427954E1
1.228890500E0,4.126163483E0,2.317342758E1,-4.900900269E1,5.436833008E1
1.238931500E0,4.151691437E0,2.325582504E1,-4.899150848E1,5.438968509E1
1.248972500E0,4.005558014E0,2.330780029E1,-4.896535492E1,5.437742208E1
1.259014500E0,4.113033295E0,2.339267349E1,-4.884666443E1,5.431510694E1
1.269055500E0,3.975406647E0,2.343092346E1,-4.894154358E1,5.440667900E1
1.279096500E0,4.088298798E0,2.316290665E1,-4.859062195E1,5.398409926E1
1.289137500E0,4.215156555E0,2.319076538E1,-4.885910797E1,5.424750294E1
1.299178500E0,3.994430542E0,2.317417526E1,-4.914829254E1,5.448442469E1
1.309219500E0,4.075698853E0,2.326957703E1,-4.901559448E1,5.441151568E1
1.319261500E0,4.098754883E0,2.323975754E1,-4.892832947E1,5.432188828E1
1.329302500E0,4.077064514E0,2.339516449E1,-4.879722595E1,5.426900992E1
1.339343500E0,4.244007111E0,2.333615112E1,-4.884184265E1,5.429652972E1
1.349384500E0,4.224399567E0,2.318398666E1,-4.924902344E1,5.459678653E1
1.359425500E0,4.292861938E0,2.352116394E1,-4.874108887E1,5.428966348E1
1.369467500E0,4.390647888E0,2.353315353E1,-4.876811218E1,5.432693503E1
1.379508500E0,4.042160034E0,2.332141113E1,-4.868663025E1,5.413515715E1
1.389549500E0,4.075771332E0,2.342416763E1,-4.905664062E1,5.451474599E1
1.399590500E0,4.202976227E0,2.342132950E1,-4.871605682E1,5.421695193E1
1.409631500E0,4.102809906E0,2.323776627E1,-4.880078888E1,5.420649247E1
1.419672500E0,4.066997528E0,2.320035553E1,-4.870259094E1,5.409934685E1
1.429714500E0,4.030902863E0,2.344647598E1,-4.876955414E1,5.426283097E1
1.439755500E0,4.205718994E0,2.343176270E1,-4.879102325E1,5.428903688E1
1.449796500E0,4.118785858E0,2.334691620E1,-4.883572388E1,5.428600943E1
1.459837500E0,4.264854431E0,2.329071808E1,-4.887103271E1,5.430492032E1
1.469878500E0,4.190597534E0,2.347935486E1,-4.895713043E1,5.445770682E1
1.479920500E0,4.106895447E0,2.347113800E1,-4.929216766E1,5.474923472E1
1.489961500E0,4.174896240E0,2.341572571E1,-4.889591980E1,5.437404659E1
1.500002500E0,3.951881409E0,2.351986694E1,-4.901805115E1,5.451211651E1
1.510043500E0,3.871555328E0,2.351693344E1,-4.910216522E1,5.458074504E1
1.520084500E0,4.104869843E0,2.360517883E1,-4.919548798E1,5.471974471E1
1.530125500E0,4.261474609E0,2.366146469E1,-4.901562500E1,5.459447382E1
1.540167500E0,4.178470612E0,2.351179123E1,-4.896659851E1,5.447927783E1
1.550208500E0,4.185550690E0,2.349147034E1,-4.920453644E1,5.468504749E1
1.560249500E0,3.954086304E0,2.347080994E1,-4.913508606E1,5.459643211E1
1.570290500E0,4.011775970E0,2.340683365E1,-4.924963379E1,5.467632610E1
1.580331500E0,3.982273102E0,2.335448074E1,-4.898733521E1,5.441552426E1
1.590373500E0,3.973876953E0,2.329499817E1,-4.870085907E1,5.413152789E1
1.600414500E0,4.149265289E0,2.338191223E1,-4.874033356E1,5.421762017E1
1.610455500E0,3.983951569E0,2.320073318E1,-4.858712769E1,5.398939588E1
1.620496500E0,3.983860016E0,2.337211609E1,-4.853125763E1,5.401305322E1
1.630537500E0,4.048030853E0,2.333161926E1,-4.826156616E1,5.375806711E1
1.640578500E0,4.006946564E0,2.331702805E1,-4.839163208E1,5.386547571E1
1.650620500E0,4.206008911E0,2.337302017E1,-4.838974762E1,5.390321194E1
1.660661500E0,4.195007324E0,2.323094940E1,-4.826618195E1,5.372987452E1
1.670702500E0,4.247806549E0,2.310353470E1,-4.844190979E1,5.383712288E1
1.680743500E0,4.261928558E0,2.319276047E1,-4.825400543E1,5.370770162E1
1.690784500E0,3.997425079E0,2.332825470E1,-4.834207916E1,5.382511953E1
1.700826500E0,4.347759247E0,2.346455002E1,-4.827368164E1,5.385012959E1
1.710867500E0,4.151840210E0,2.340221405E1,-4.829200745E1,5.382396662E1
1.720908500E0,3.969009399E0,2.337086105E1,-4.810030365E1,5.362452231E1
1.730949500E0,3.821456909E0,2.325343323E1,-4.854428101E1,5.396177266E1
1.740990500E0,3.878658295E0,2.348591232E1,-4.862710571E1,5.414081157E1
1.751031500E0,3.858848572E0,2.327627563E1,-4.852446747E1,5.395646081E1
1.761073500E0,4.022384644E0,2.332947159E1,-4.824312592E1,5.373865481E1
1.771114250E0,4.109539032E0,2.335724258E1,-4.825538635E1,5.376831227E1
1.781155250E0,4.294589996E0,2.338134384E1,-4.839962769E1,5.392267337E1
1.791196250E0,4.187786102E0,2.335739899E1,-4.868952942E1,5.416434173E1
1.801237250E0,4.013210297E0,2.332673264E1,-4.848101044E1,5.395044657E1
1.811278250E0,4.049816132E0,2.341653442E1,-4.868418884E1,5.417458203E1
1.821320250E0,4.095687866E0,2.344608688E1,-4.903536224E1,5.450651704E1
1.831361250E0,4.145584106E0,2.336471176E1,-4.884022522E1,5.429975343E1
1.841402250E0,4.275035858E0,2.326994324E1,-4.878423309E1,5.421870146E1
1.851443250E0,4.469310760E0,2.338898468E1,-4.872199249E1,5.422962194E1
1.861484250E0,4.339687347E0,2.332597351E1,-4.846651459E1,5.396236617E1
1.871526250E0,4.029064178E0,2.330405807E1,-4.838669586E1,5.385707769E1
1.881567250E0,4.196353912E0,2.322379684E1,-4.868970490E1,5.410768419E1
1.891608250E0,4.229457855E0,2.331377029E1,-4.858109283E1,5.405129767E1
1.901649250E0,3.908061981E0,2.320892334E1,-4.845038605E1,5.386433866E1
1.911690250E0,3.851139069E0,2.318439865E1,-4.859304810E1,5.397806903E1
1.921732250E0,4.066028595E0,2.332505798E1,-4.837797546E1,5.386111240E1
1.931773250E0,3.979801178E0,2.340014267E1,-4.844927216E1,5.395125084E1
1.941814250E0,4.008495331E0,2.322826385E1,-4.817674255E1,5.363411973E1
1.951855250E0,4.156345367E0,2.344891739E1,-4.860160065E1,5.412247702E1
1.961896250E0,3.923896790E0,2.344041443E1,-4.857978821E1,5.408184369E1
1.971937250E0,3.963275909E0,2.335160446E1,-4.835658264E1,5.384574330E1
1.981979250E0,3.726997375E0,2.366402435E1,-4.855328369E1,5.414146207E1
1.992020250E0,3.900447845E0,2.358372498E1,-4.880484772E1,5.434444533E1
